state.country.isoCode;state.id;name;nameExtension;zipCode;phoneCode;language
DE;Rheinland-Pfalz;Aach;b Trier;54298;651;de
DE;Rheinland-Pfalz;Abentheuer;;55767;6782;de
DE;Rheinland-Pfalz;Abtweiler;;55568;6753;de
DE;Rheinland-Pfalz;Acht;;56729;2656;de
DE;Rheinland-Pfalz;Achtelsbach;;55767;6782;de
DE;Rheinland-Pfalz;Adenau;;53518;2691;de
DE;Rheinland-Pfalz;Adenbach;;67742;6753;de
DE;Rheinland-Pfalz;Affler;;54689;6524;de
DE;Rheinland-Pfalz;Aftholderbach;;56355;6772;de
DE;Rheinland-Pfalz;Ahrbrück;;53506;2643;de
DE;Rheinland-Pfalz;Ailertchen;;56459;2663;de
DE;Rheinland-Pfalz;Albersweiler;;76857;6345;de
DE;Rheinland-Pfalz;Alberthofen;;57614;2684;de
DE;Rheinland-Pfalz;Albessen;;66871;6384;de
DE;Rheinland-Pfalz;Albig;;55234;6731;de
DE;Rheinland-Pfalz;Albisheim;(Pfrimm);67308;6355;de
DE;Rheinland-Pfalz;Alf;;56859;6542;de
DE;Rheinland-Pfalz;Alflen;;56828;2678;de
DE;Rheinland-Pfalz;Alken;, Mosel;56332;2605;de
DE;Rheinland-Pfalz;Allenbach;, Hunsrück;55758;6786;de
DE;Rheinland-Pfalz;Allendorf;, Rhein-Lahn-Kr;56370;6486;de
DE;Rheinland-Pfalz;Allenfeld;;55595;6756;de
DE;Rheinland-Pfalz;Almersbach;;57610;2681;de
DE;Rheinland-Pfalz;Alpenrod;;57642;2662;de
DE;Rheinland-Pfalz;Alsau;;53547;2638;de
DE;Rheinland-Pfalz;Alsbach;, Westerw;56237;2601;de
DE;Rheinland-Pfalz;Alsdorf;, Eifel;54668;6568;de
DE;Rheinland-Pfalz;Alsdorf;, Sieg;57518;2741;de
DE;Rheinland-Pfalz;Alsenz;;67821;6362;de
DE;Rheinland-Pfalz;Alsheim;, Rheinhess;67577;6249;de
DE;Rheinland-Pfalz;Altbrand;;76726;7274;de
DE;Rheinland-Pfalz;Altdorf;, Pfalz;67482;6327;de
DE;Rheinland-Pfalz;Altenahr;;53505;2643;de
DE;Rheinland-Pfalz;Altenbamberg;;55585;6708;de
DE;Rheinland-Pfalz;Altendiez;;65624;6432;de
DE;Rheinland-Pfalz;Altenglan;;66885;6381;de
DE;Rheinland-Pfalz;Altenhof;b Oberweis, Eifel;54636;6527;de
DE;Rheinland-Pfalz;Altenhof;b Kyllburg;54655;6594;de
DE;Rheinland-Pfalz;Altenhof;b Kaiserslautern;67677;6303;de
DE;Rheinland-Pfalz;Altenkirchen;(Westerwald);57610;2681;de
DE;Rheinland-Pfalz;Altenkirchen;, Pfalz;66903;6386;de
DE;Rheinland-Pfalz;Alterkülz;;56288;6762;de
DE;Rheinland-Pfalz;Althornbach;;66484;6338;de
DE;Rheinland-Pfalz;Altlay;;56858;6543;de
DE;Rheinland-Pfalz;Altleiningen;;67317;6356;de
DE;Rheinland-Pfalz;Altrich;;54518;6571;de
DE;Rheinland-Pfalz;Altrip;, Kr Ludwigshafen am Rhein;67122;6236;de
DE;Rheinland-Pfalz;Altscheid;;54636;6527;de
DE;Rheinland-Pfalz;Altstrimmig;;56858;6545;de
DE;Rheinland-Pfalz;Altweidelbach;;55469;6761;de
DE;Rheinland-Pfalz;Alzey;;55232;6731;de
DE;Rheinland-Pfalz;Am Sandweiher;;66849;6371;de
DE;Rheinland-Pfalz;Ammeldingen;bei Neuerburg;54673;6564;de
DE;Rheinland-Pfalz;Ammeldingen;an der Our;54675;6566;de
DE;Rheinland-Pfalz;Andernach;;56626;2632;de
DE;Rheinland-Pfalz;Anhausen;, Kr Neuwied;56584;2639;de
DE;Rheinland-Pfalz;Annweiler;am Trifels;76855;6346;de
DE;Rheinland-Pfalz;Anschau;;56729;2656;de
DE;Rheinland-Pfalz;Antweiler;b Adenau;53533;2693;de
DE;Rheinland-Pfalz;Appenheim;, Rheinhess;55437;6725;de
