Smith,1.006
Johnson,0.810
Williams,0.699
Jones,0.621
Brown,0.621
Davis,0.480
Miller,0.424
Wilson,0.339
Moore,0.312
Taylor,0.311
Anderson,0.311
Thomas,0.311
Jackson,0.310
White,0.279
Harris,0.275
Martin,0.273
Thompson,0.269
Garcia,0.254
Martinez,0.234
Robinson,0.233
Clark,0.231
Rodriguez,0.229
Lewis,0.226
Lee,0.220
Walker,0.219
Hall,0.200
Allen,0.199
Young,0.193
Hernandez,0.192
King,0.190
Wright,0.189
Lopez,0.187
Hill,0.187
Scott,0.185
Green,0.183
Adams,0.174
Baker,0.171
Gonzalez,0.166
Nelson,0.162
Carter,0.162
Mitchell,0.160
Perez,0.155
Roberts,0.153
Turner,0.152
Phillips,0.149
Campbell,0.149
Parker,0.146
Evans,0.141
Edwards,0.137
Collins,0.134
Stewart,0.133
Sanchez,0.130
Morris,0.125
Rogers,0.123
Reed,0.122
Cook,0.120
Morgan,0.118
Bell,0.117
Murphy,0.117
Bailey,0.115
Rivera,0.113
Cooper,0.113
Richardson,0.112
Cox,0.110
Howard,0.110
Ward,0.108
Torres,0.108
Peterson,0.107
Gray,0.106
Ramirez,0.105
James,0.105
Watson,0.103
Brooks,0.103
Kelly,0.102
Sanders,0.100
Price,0.099
Bennett,0.099
Wood,0.098
Barnes,0.097
Ross,0.096
Henderson,0.095
Coleman,0.095
Jenkins,0.095
Perry,0.094
Powell,0.093
Long,0.092
Patterson,0.092
Hughes,0.092
Flores,0.092
Washington,0.092
Butler,0.091
Simmons,0.091
Foster,0.091
Gonzales,0.087
Bryant,0.087
Alexander,0.085
Russell,0.085
Griffin,0.084
Diaz,0.084
Hayes,0.083
